Index,Food_name,Cuisine_id,Calories,Fat,Carbohydrates,Protein,Sodium,Meal_type_id,Veg_non_veg,Expected Price
364,Ikan Gurame Bakar,Sunda,170,7,0,23,500,Sea food based,NV,250
365,Nasi Liwet,Sunda,100,1.5,20,2.5,5,Rice based,V,60
366,Tortilla española,Spanish,157,9.5,7,9,270,Meat based,V,150
367,Paella,Spanish,127,1.7,24.5,3.7,290,Sea food based,V,300
368,Gazpacho,Spanish,20,0.5,3.5,0.5,200,Vegetarian based,V,50
369,Pulpo a la gallega,Spanish,99,5.5,5,8.5,500,Sea food based,NV,200
370,Churros,Spanish,385,17,52,4.6,100,Dessert,V,70
371,Tostada con tomate,Spanish,145,6,20,3,300,Wheat based,V,60
372,Fabada asturiana,Spanish,149,8.5,8,9.5,450,Meat based,NV,200
373,Calamares a la romana,Spanish,211,11,18,10,500,Sea food based,NV,250
374,Ensalada rusa,Spanish,167,14,7,3.8,275,Salad based,V,100
375,Hainanese Chicken Rice,Singaporean,180,5.5,18,13,300,Rice based,NV,250
376,Laksa,Singaporean,285,17,18,16,1088,Rice based,NV,350
377,Chilli Crab,Singaporean,199,9.3,11,16,425,Sea food based,NV,600
378,Satay,Singaporean,285,23,9,12,576,Meat based,NV,400
379,Bak Kut Teh,Singaporean,200,14,2,15,733,Meat based,NV,280
380,Curry Puff,Singaporean,265,14,31,4.4,450,Wheat based,NV,80
381,Oyster Omelette,Singaporean,270,20,13,8,691,Sea food based,NV,250
382,Popiah,Singaporean,120,2,23,2,90,Wheat based,V,100
383,Rojak,Singaporean,150,8,18,2.5,100,Salad based,V,150
384,Biryani Rice,Singaporean,150,3,30,3,20,Rice based,V,200
385,Sambal Stingray,Singaporean,163,9,1,18,218,Sea food based,NV,300
386,Fried Carrot Cake,Singaporean,230,16,17,3,605,Wheat based,V,100
387,Nasi Lemak,Singaporean,298,18,19,12,697,Rice based,NV,250
388,Kaya Toast,Singaporean,200,8,30,4,160,Wheat based,V,50
389,Ice Kacang,Singaporean,245,0,60,1,15,Fruits,V,80
390,Cozido à Portuguesa,Portuguese,259,16.6,8.1,18.2,749,Meat based,NV,400
391,Caldo verde,Portuguese,54,3.3,3.3,2.3,229,Vegetarian based,V,100
392,Feijoada,Portuguese,121,3.3,13.1,8.4,620,Meat based,NV,200
393,Ameijoas à Bulhão Pato,Portuguese,148,7.5,5.7,14.1,684,Sea food based,NV,350
394,Francesinha,Portuguese,354,23.8,18.3,17.9,1359,Meat based,NV,500
395,Pastéis de nata,Portuguese,298,17.9,29.2,4.1,162,Dessert,V,50
396,Bacalhau à brás,Portuguese,154,6.9,6.8,15.2,574,Sea food based,NV,250
397,Chouriço assado,Portuguese,271,22.8,3.3,13.3,1310,Meat based,NV,300
398,Polvo à lagareiro,Portuguese,196,12.6,2.1,19.2,647,Sea food based,NV,400
399,Arroz de marisco,Portuguese,140,3.8,15.3,10.2,250,Sea food based,NV,350
400,Pão de Deus,Portuguese,256,11.4,34.7,4.1,250,Dessert,V,30
401,Carne de porco à alentejana,Portuguese,130,7.6,2.6,11.2,539,Meat based,NV,250
402,Toucinho do céu,Portuguese,372,23.8,29.5,10.5,116,Dessert,V,60
403,Queijadas,Portuguese,342,15.2,44.5,5.5,95,Dessert,V,50
404,Arroz de Pato,Portuguese,153,5.8,13.3,10.7,482,Meat based,NV,250
405,Shoyu Ramen,Ramen,435,10,54,26,1200,Junk food,NV,800
406,Miso Ramen,Ramen,470,16,57,22,1170,Junk food,V,850
407,Tonkotsu Ramen,Ramen,590,23,52,40,1660,Junk food,NV,900
408,Shio Ramen,Ramen,410,9,60,22,1080,Junk food,V,800
409,Veggie Ramen,Ramen,320,6,55,10,640,Junk food,V,750
410,Sea food Ramen,Ramen,420,14,46,25,1030,Junk food,NV,900
411,Spicy Ramen,Ramen,500,14,70,20,1300,Junk food,NV,800
412,Tantanmen Ramen,Ramen,560,24,52,28,1150,Junk food,NV,850
413,Mushroom Ramen,Ramen,390,9,56,16,850,Junk food,V,750
414,Chicken Ramen,Ramen,460,12,63,23,1160,Junk food,NV,800
415,Beef Ramen,Ramen,540,21,53,28,1320,Junk food,NV,900
416,Curry Ramen,Ramen,490,18,62,19,1050,Junk food,NV,800
417,Green Tea Ramen,Ramen,380,8,61,14,950,Junk food,V,750
418,Black Garlic Ramen,Ramen,510,18,60,26,1400,Junk food,NV,850
419,Tomato Ramen,Ramen,400,12,63,16,840,Junk food,V,750
420,Club sandwich,Diner,240,12,22,10,490,Junk food,NV,250
421,Philly cheesesteak sandwich,Diner,320,12,24,28,860,Meat based,NV,300
422,Burger and fries,Diner,312,17,32,11,810,Junk food,NV,200
423,Hot dog,Diner,296,23,12,10,1068,Meat based,NV,150
424,Reuben sandwich,Diner,254,16,16,15,676,Meat based,NV,275
425,Chicken fried steak,Diner,250,11,20,18,400,Meat based,NV,350
426,Grilled cheese sandwich,Diner,216,12,23,11,422,Salad based,V,125
427,Milkshake,Diner,180,4,31,4,120,Milk based,V,100
428,Pancakes with maple syrup,Diner,280,3,61,6,307,Wheat based,V,175
429,French toast,Diner,200,8,27,6,219,Wheat based,V,150
430,Chili cheese fries,Diner,312,17,32,11,810,Junk food,NV,225
431,Meatloaf with mashed potatoes,Diner,243,12,20,14,317,Meat based,NV,275
432,Gyro wrap,Greek,279,10,25,22,826,Meat based,NV,250
433,Tzatziki sauce,Greek,102,10,4,1,181,Milk based,V,50
434,Greek salad,Greek,163,12,9,5,313,Salad based,V,200
435,Moussaka,Greek,176,10,8,14,303,Vegetarian based,V,300
436,Saganaki,Greek,320,25,5,20,790,Meat based,NV,275
437,Souvlaki,Greek,134,5,1,22,385,Meat based,NV,150
438,Taramasalata,Greek,220,22,2,5,360,Sea food based,V,150
439,Dolmades,Greek,200,10,22,2,300,Vegetarian based,V,200
440,Pita bread,Greek,275,2,51,10,407,Wheat based,V,50
441,Spanakopita,Greek,233,16,15,7,394,Vegetarian based,V,225
442,Greek yogurt,Greek,59,0,4,10,36,Milk based,V,75
443,Keftedes,Greek,270,19,10,13,760,Meat based,NV,250
444,Watermelon Juice,Juices,30,0.2,7.6,0.6,2,Fruits,V,60
445,Mango Juice,Juices,60,0.3,15,0.7,3,Fruits,V,70
446,Pineapple Juice,Juices,50,0.1,13,0.5,1,Fruits,V,65
447,Carrot Beetroot Juice,Juices,35,0.2,8.6,1,10,Salad based,V,55
448,Orange Juice,Juices,47,0.1,11.8,0.7,1,Fruits,V,75
449,Pomegranate Juice,Juices,83,1.2,19.1,1.7,10,Fruits,V,90
450,Strawberry Smoothie,Juices,55,1.1,8.6,1.2,45,Milk based,V,80
451,Spinach Juice,Juices,23,0.4,3.6,2.8,70,Salad based,V,50
452,Apple Juice,Juices,46,0.2,11.8,0.2,3,Fruits,V,70
453,Tomato Juice,Juices,18,0.2,3.5,1,20,Salad based,V,50
454,Lemonade,Juices,29,0,7.3,0.2,2,Fruits,V,60
455,Amla Juice,Juices,40,0.1,10,0.8,3,Fruits,V,75
456,Aloo Tama,North Eastern,140,5,16,7,100,Vegetarian based,NV,120
457,Eromba,North Eastern,120,4,10,9,250,Vegetarian based,NV,100
458,Chak Hao Kheer,North Eastern,140,4,22,4,20,Milk based,V,80
459,Ngari,North Eastern,320,23,3,28,450,Sea food based,NV,300
460,Bamboo Shoot Fry,North Eastern,110,2,19,6,80,Vegetarian based,V,90
461,Tungrymbai,North Eastern,160,6,14,12,300,Vegetarian based,NV,110
462,Gyathuk,North Eastern,150,6,16,8,150,Wheat based,NV,120
463,Pitha,North Eastern,160,5,28,3,10,Wheat based,V,100
464,Thukpa,North Eastern,120,2,12,12,300,Wheat based,NV,90
465,Akhoi Aloo and Chana Saag,North Eastern,200,8,18,15,250,Vegetarian based,NV,150
466,Pollo a la Brasa,Peruvian,258,13,0,35,91,Meat based,NV,350
467,Aji de Gallina,Peruvian,155,7,9,14,92,Meat based,NV,300
468,Causa Rellena,Peruvian,172,6,22,6,56,Wheat based,V,250
469,Tallarin Saltado,Peruvian,171,7,15,12,50,Meat based,NV,350
470,Papa a la Huancaína,Peruvian,187,11,16,5,136,Salad based,V,200
471,Arroz Chaufa,Peruvian,174,5,22,7,190,Rice based,NV,250
472,Chicha Morada,Peruvian,80,0,19,1,8,Beverage,V,100
473,Ceviche,Peruvian,132,1,21,13,720,Sea food based,NV,400
474,Lomo Saltado,Peruvian,175,8,12,16,25,Meat based,NV,350
475,Empanadas,Peruvian,310,16,25,18,450,Wheat based,NV,250
476,Churros,Peruvian,368,17,53,3,70,Wheat based,V,150
477,Mazamorra Morada,Peruvian,98,0,24,1,5,Beverage,V,100
478,Croissant,French,406,23,45,6,480,Wheat based,V,35
479,Baguettes,French,275,1.1,57,8,550,Wheat based,V,30
480,Quiche Lorraine,French,350,24,20,12,470,Meat based,NV,75
481,Bouillabaisse,French,78,0.9,5.5,12,383,Sea food based,NV,150
482,Ratatouille,French,50,2,9,2,10,Vegetarian based,V,80
483,Coq au Vin,French,250,15,3,25,275,Meat based,NV,120
484,Beef Bourguignon,French,200,12,2,20,250,Meat based,NV,200
485,Salade Niçoise,French,190,12,11,11,460,Salad based,V,100
486,Crème Brûlée,French,340,16,35,7,65,Milk based,V,80
487,Profiteroles,French,371,22,32,8,72,Milk based,V,70
488,Escargot,French,250,18,2,16,300,Meat based,NV,150
489,Tarte Tatin,French,256,13,35,3,150,Fruits,V,100
490,Fish and Chips,Fish and Chips,320,16,28,14,451,Sea food based,NV,400
491,Cod,Fish and Chips,82,0.5,0,18,59,Sea food based,NV,100
492,Haddock,Fish and Chips,87,0.6,0,18,58,Sea food based,NV,100
493,Plaice,Fish and Chips,95,1.1,0,20,72,Sea food based,NV,100
494,Rockfish,Fish and Chips,90,0.7,0,18,80,Sea food based,NV,100
495,Chips,Fish and Chips,312,15,39,3.6,580,Wheat based,V,100
496,Mushy Peas,Fish and Chips,70,0.4,10,5,312,Vegetarian based,V,50
497,Scampi,Fish and Chips,280,17,22,9,825,Sea food based,NV,400
498,Coleslaw,Fish and Chips,260,20,20,1.6,225,Vegetarian based,V,80
499,Calamari,Fish and Chips,180,6,23,11,650,Sea food based,NV,300
500,Fried Shrimp,Fish and Chips,220,11,20,12,600,Sea food based,NV,250
501,Tartar Sauce,Fish and Chips,180,19,3,0.6,360,Vegetarian based,V,50
502,Vinegar,Fish and Chips,0,0,0,0,20,Salad based,V,10
503,Curry Sauce,Fish and Chips,150,10,13,1,220,Vegetarian based,V,50
504,Ketchup,Fish and Chips,90,0,23,1.7,305,Salad based,V,20
505,Bangers and Mash,Pub Food,360,25,20,13,1040,Meat based,NV,200
506,Fish and Chips,Pub Food,320,16,28,14,451,Sea food based,NV,400
507,Beef and Ale Pie,Pub Food,440,28,30,16,510,Meat based,NV,300
508,Shepherd's Pie,Pub Food,350,16,35,16,640,Meat based,NV,250
509,Ploughman's Lunch,Pub Food,480,29,26,27,870,Meat based,NV,300
510,Scotch Egg,Pub Food,190,13,9,8,420,Meat based,NV,100
511,Cheese and Onion Pie,Pub Food,450,29,38,10,780,Vegetarian based,V,200
512,Steak and Kidney Pie,Pub Food,420,23,33,23,620,Meat based,NV,350
513,Pork Scratchings,Pub Food,570,41,0,54,1840,Meat based,NV,100
514,Bread and Butter Pudding,Pub Food,320,14,39,8,200,Milk based,V,100
515,Plaice and Chips,Pub Food,280,13,22,19,665,Sea food based,NV,350
516,Chicken and Mushroom Pie,Pub Food,380,25,22,16,560,Meat based,NV,250
517,Toad in the Hole,Pub Food,360,22,26,12,730,Meat based,NV,200
518,Scampi and Chips,Pub Food,380,23,31,11,930,Sea food based,NV,400
519,Buffalo Wings,Pub Food,290,17,12,22,970,Meat based,NV,200
520,Fried Chicken,Soul Food,250,13,10,22,390,Meat based,NV,250
521,Collard Greens,Soul Food,50,1,8,3,180,Vegetarian based,V,100
522,Mashed Potatoes,Soul Food,110,3,20,2,430,Wheat based,V,150
523,Black-eyed Peas,Soul Food,100,0.4,20,6,3,Vegetarian based,V,150
524,Cornbread,Soul Food,200,9,27,4,390,Wheat based,V,100
525,Macaroni and Cheese,Soul Food,310,15,27,15,590,Wheat based,V,200
526,Barbecue Ribs,Soul Food,420,27,7,34,860,Meat based,NV,400
527,Fried Catfish,Soul Food,250,15,10,22,150,Sea food based,NV,350
528,Candied Yams,Soul Food,210,6,36,1,120,Vegetarian based,V,150
529,Red Beans and Rice,Soul Food,200,2,38,10,490,Vegetarian based,V,200
530,Fried Okra,Soul Food,160,9,16,2,390,Vegetarian based,V,150
531,Chitterlings (Chitlins),Soul Food,290,15,4,34,590,Meat based,NV,250
532,Biscuits and Gravy,Soul Food,470,27,44,10,1110,Wheat based,NV,150
533,Sweet Potato Pie,Soul Food,300,12,46,3,250,Milk based,V,100
534,Peach Cobbler,Soul Food,250,11,38,2,200,Milk based,V,100
535,Momo,Nepalese,184,2.2,33,7.1,401,Wheat based,NV,200
536,Dal bhat tarkari,Nepalese,119,1.3,23,4.3,251,Vegetarian based,V,150
537,Choila,Nepalese,176,12,2,16,495,Meat based,NV,300
538,Aloo tama,Nepalese,55,0.5,11.7,2.5,12,Vegetarian based,V,150
539,Yomari,Nepalese,171,2.1,37,3.4,0,Wheat based,V,100
540,Kwati,Nepalese,126,1.6,23.6,7.6,126,Vegetarian based,V,150
541,Sel roti,Nepalese,290,0,50,10,300,Wheat based,V,50
542,Chatamari,Nepalese,187,1,38,7,247,Rice based,V,150
543,Samay Baji,Nepalese,220,6,32,6,80,Rice based,V,200
544,Sukuti,Nepalese,380,16,1,56,760,Meat based,NV,400
545,Gundruk,Nepalese,38,0.1,6.8,3.7,56,Vegetarian based,V,100
546,Juju Dhau,Nepalese,165,4.4,30.4,3.8,55,Milk based,V,100
547,Khaja Set,Nepalese,450,20,60,10,900,Wheat based,NV,300
548,Masaura,Nepalese,275,3.3,48.3,11.3,264,Vegetarian based,V,250
549,Choyla,Nepalese,156,4.4,4.4,25,125,Meat based,NV,300
550,Vada Pav,Maharashtrian,225,11,26,7,660,Wheat based,V,30
551,Misal Pav,Maharashtrian,320,14,32,16,750,Wheat based,V,50
552,Pav Bhaji,Maharashtrian,300,11,45,7,800,Wheat based,V,80
553,Batata Vada,Maharashtrian,150,8,17,2,295,Wheat based,V,25
554,Puran Poli,Maharashtrian,305,12.1,43,6.6,109,Rice based,V,100
555,Kothimbir Vadi,Maharashtrian,200,10,24,6,350,Vegetarian based,V,50
556,Shrikhand,Maharashtrian,180,4,34,3,110,Milk based,V,60
557,Sabudana Vada,Maharashtrian,376,16,51,6,394,Vegetarian based,V,30
558,Modak,Maharashtrian,191,4.1,32.4,4.7,22,Wheat based,V,60
559,Kanda Bhaji,Maharashtrian,320,16,35,5,1000,Wheat based,V,40
560,Usal,Maharashtrian,197,9,20,7,572,Vegetarian based,V,70
561,Bhakarwadi,Maharashtrian,450,20,50,10,1000,Wheat based,V,120
562,Thalipeeth,Maharashtrian,259,3,52,9,406,Wheat based,V,60
563,Varan Bhaat,Maharashtrian,236,3,45,7,426,Rice based,V,40
564,Puranachi Poli,Maharashtrian,400,12,75,10,200,Rice based,V,120
565,Butter Chicken,North Indian,360,21,5,34,648,Meat based,NV,300
566,Tandoori Chicken,North Indian,196,6,2,33,401,Meat based,NV,250
567,Chicken Tikka Masala,North Indian,290,14,11,30,840,Meat based,NV,280
568,Chole Bhature,North Indian,450,20,45,10,850,Wheat based,V,100
569,Samosa,North Indian,123,4.4,18,3.8,298,Wheat based,V,20
570,Aloo Gobi,North Indian,160,7,22,4,150,Vegetarian based,V,80
571,Palak Paneer,North Indian,140,8,4,12,300,Vegetarian based,V,120
572,Dal Makhani,North Indian,280,14,28,10,860,Vegetarian based,V,100
573,Paneer Tikka,North Indian,300,20,10,15,500,Milk based,V,200
574,Navratan Korma,North Indian,215,15,12,6,150,Vegetarian based,V,150
575,Chicken Biryani,North Indian,400,14,45,20,850,Rice based,NV,250
576,Chana Masala,North Indian,230,9,29,8,400,Vegetarian based,V,60
577,Tandoori Roti,North Indian,250,2,46,8,35,Wheat based,V,10
578,Kadhai Paneer,North Indian,180,10,10,15,250,Vegetarian based,V,150
579,Malai Kofta,North Indian,350,20,30,10,600,Vegetarian based,V,120
580,Pizza,International,285,10,32,15,585,Junk food,NV,300
581,Burger,International,250,9,30,15,600,Junk food,NV,200
582,Sushi,International,120,0.5,26,3,480,Sea food based,NV,400
583,Pad Thai,International,190,6,22,14,700,Rice based,V,250
584,Chicken Fajitas,International,350,10,25,35,700,Meat based,NV,400
585,Fish and Chips,International,290,12,35,12,450,Sea food based,NV,250
586,Shakshuka,International,220,15,15,10,300,Milk based,V,150
587,Hummus,International,180,14,12,4,180,Vegetarian based,V,100
588,Beef Stroganoff,International,220,12,12,18,400,Meat based,NV,450
589,Caesar Salad,International,130,8,8,7,230,Salad based,V,200
590,Mushroom Risotto,International,180,6,28,4,480,Vegetarian based,V,300
591,Tacos,International,250,10,25,18,480,Meat based,NV,150
592,Grilled Salmon,International,220,12,0,25,250,Sea food based,NV,500
593,Chicken Shawarma,International,350,14,25,25,850,Meat based,NV,200
594,Stir-fry,International,150,5,20,5,200,Vegetarian based,V,100
595,Hoppers,Sri Lankan,160,4,30,4,40,Rice based,V,80
596,Lamprais,Sri Lankan,400,20,50,20,600,Rice based,NV,300
597,Kottu Roti,Sri Lankan,500,25,50,25,800,Meat based,NV,200
598,Parippu Curry,Sri Lankan,180,6,18,6,200,Vegetarian based,V,100
599,Watalappam,Sri Lankan,300,15,30,10,150,Milk based,V,150
600,Pol Sambol,Sri Lankan,100,8,4,2,50,Vegetarian based,V,50
601,Fish Ambul Thiyal,Sri Lankan,200,8,12,20,400,Sea food based,NV,400
602,Mutton Rolls,Sri Lankan,250,10,20,15,400,Meat based,NV,150
603,Prawn Curry,Sri Lankan,250,10,12,25,500,Sea food based,NV,300
604,Curd and Treacle,Sri Lankan,120,0,30,1,50,Milk based,V,50
605,Lunumiris,Sri Lankan,50,3,2,1,20,Vegetarian based,V,20
606,Kiribath,Sri Lankan,150,2,30,4,50,Rice based,V,50
607,Konda Kavum,Sri Lankan,200,10,30,2,100,Junk food,V,50
608,Gotu Kola Sambol,Sri Lankan,70,2,4,2,50,Salad based,V,80
609,Seeni Sambol,Sri Lankan,100,8,4,1,50,Vegetarian based,V,70
610,Dhokla,Gujarati,180,6,30,5,250,Vegetarian based,V,50
611,Khandvi,Gujarati,150,5,20,5,150,Vegetarian based,V,80
612,Undhiyu,Gujarati,250,10,35,8,500,Vegetarian based,V,200
613,Kadhi,Gujarati,120,5,10,5,300,Salad based,V,50
614,Fafda,Gujarati,250,10,30,5,400,Vegetarian based,V,60
615,Khakhra,Gujarati,120,3,20,3,150,Wheat based,V,40
616,Handvo,Gujarati,200,8,25,10,250,Vegetarian based,V,100
617,Gota,Gujarati,150,8,20,5,300,Vegetarian based,V,70
618,Dal Dhokli,Gujarati,300,10,40,12,400,Meat based,NV,150
619,Bajra Rotla,Gujarati,150,5,25,3,100,Wheat based,V,30
620,Methi Thepla,Gujarati,200,10,20,5,150,Wheat based,V,40
621,Sev Tameta Nu Shaak,Gujarati,150,5,20,5,250,Vegetarian based,V,80
622,Shrikhand,Gujarati,250,10,35,8,200,Milk based,V,100
623,Dal Makhani,Gujarati,300,15,35,10,500,Meat based,NV,200
624,Khaman,Gujarati,200,6,30,5,250,Vegetarian based,V,50
625,Kebab e Murgh,Afghani,150,7,10,10,300,Meat based,NV,150
626,Mantoo,Afghani,200,10,20,10,250,Meat based,NV,200
627,Kofta e Rize,Afghani,300,15,20,15,350,Meat based,NV,250
628,Qabuli Pulao,Afghani,400,20,30,20,450,Rice based,NV,300
629,Mantu,Afghani,250,10,20,10,300,Meat based,NV,180
630,Chapli Kebab,Afghani,180,8,10,12,350,Meat based,NV,120
631,Bolani,Afghani,150,5,20,5,250,Vegetarian based,V,80
632,Shola,Afghani,200,10,20,8,250,Meat based,NV,150
633,Ashak,Afghani,150,5,20,5,200,Vegetarian based,V,100
634,Qurma e Lawand,Afghani,250,10,15,20,350,Meat based,NV,220
635,Kabuli Pulao,Afghani,400,20,30,20,450,Rice based,NV,300
636,Shorwa,Afghani,150,5,15,8,250,Meat based,NV,100
637,Kadoo Borani,Afghani,100,5,10,5,150,Vegetarian based,V,50
638,Tashkent Salad,Afghani,100,5,10,5,200,Salad based,V,70
639,Kebab e Gosht,Afghani,200,10,10,15,350,Meat based,NV,180
640,Vada Pav,Street Food,300,15,30,10,500,Wheat based,V,20
641,Bhel Puri,Street Food,200,5,30,5,400,Vegetarian based,V,30
642,Pani Puri,Street Food,100,3,15,3,200,Vegetarian based,V,20
643,Aloo Tikki Chaat,Street Food,250,10,25,10,450,Vegetarian based,V,40
644,Misal Pav,Street Food,400,20,35,15,550,Vegetarian based,V,50
645,Samosa,Street Food,250,10,20,10,400,Vegetarian based,V,20
646,Kachori,Street Food,300,12,25,12,450,Vegetarian based,V,25
647,Kathi Roll,Street Food,350,15,30,15,500,Meat based,NV,60
648,Bombay Sandwich,Street Food,250,10,25,10,400,Vegetarian based,V,35
649,Tandoori Chicken,Street Food,300,15,10,25,450,Meat based,NV,70
650,Pav Bhaji,Street Food,400,20,30,10,500,Vegetarian based,V,50
651,Chole Bhature,Street Food,500,25,40,20,650,Wheat based,NV,60
652,Momos,Street Food,150,5,20,5,300,Vegetarian based,V,30
653,Ragda Pattice,Street Food,350,15,30,10,500,Vegetarian based,V,40
654,Chicken Shawarma,Street Food,400,20,30,20,600,Meat based,NV,80
655,Spaghetti Bolognese,Continental,350,12,50,15,600,Meat based,NV,150
656,Grilled Chicken Salad,Continental,200,6,10,25,400,Salad based,NV,200
657,Beef Burger,Continental,450,20,30,20,800,Junk food,NV,250
658,Potato Gratin,Continental,300,15,30,5,450,Vegetarian based,V,180
659,Beef Stroganoff,Continental,400,15,20,25,700,Meat based,NV,220
660,Fish and Chips,Continental,400,20,35,15,550,Sea food based,NV,250
661,Chicken Alfredo Pasta,Continental,500,20,40,25,800,Meat based,NV,280
662,Caesar Salad,Continental,150,8,10,5,300,Salad based,V,150
663,Grilled Fish with Lemon Butter Sauce,Continental,250,10,5,35,400,Sea food based,NV,300
664,Steak and Mash Potatoes,Continental,600,30,40,30,900,Meat based,NV,400
665,Mushroom Risotto,Continental,350,15,20,10,500,Vegetarian based,V,220
666,Veggie Pizza,Continental,300,10,35,10,600,Wheat based,V,200
667,Chicken Fajitas,Continental,350,15,20,25,550,Meat based,NV,250
668,Ratatouille,Continental,250,10,20,5,450,Vegetarian based,V,180
669,Beef Lasagna,Continental,450,20,30,25,800,Meat based,NV,280
670,Nasi Lemak,Malaysian,400,15,45,20,800,Rice based,NV,150
671,Char Kway Teow,Malaysian,500,25,40,20,1200,Junk food,NV,180
672,Hainanese Chicken Rice,Malaysian,350,10,45,25,600,Rice based,NV,200
673,Assam Laksa,Malaysian,300,10,30,15,500,Junk food,V,250
674,Roti Canai,Malaysian,250,12,30,5,350,Wheat based,V,50
675,Satay,Malaysian,300,15,10,20,500,Meat based,NV,180
676,Mee Goreng,Malaysian,350,15,30,20,700,Junk food,NV,150
677,Rendang,Malaysian,400,20,15,30,800,Meat based,NV,300
678,Nasi Goreng,Malaysian,450,25,40,15,1000,Rice based,NV,200
679,Murtabak,Malaysian,350,18,20,15,600,Wheat based,NV,120
680,Ketupat,Malaysian,200,5,40,10,300,Rice based,V,50
681,Sambal Udang,Malaysian,250,10,20,15,400,Sea food based,NV,280
682,Curry Laksa,Malaysian,450,25,30,20,1200,Junk food,NV,220
683,Chicken Satay,Malaysian,350,15,10,20,500,Meat based,NV,180
684,Pisang Goreng,Malaysian,200,10,30,5,300,Fruits,V,80
685,Khar,Assamese,30,2,5,1,1000,Salad based,V,50
686,Pitha,Assamese,150,3,30,3,50,Wheat based,V,80
687,Fish curry,Assamese,150,5,10,15,500,Sea food based,NV,120
688,Chicken curry,Assamese,200,8,10,20,500,Meat based,NV,150
689,Pithaguri,Assamese,400,20,50,10,1000,Junk food,V,60
690,Tenga,Assamese,40,2,5,2,500,Milk based,V,20
691,Chira,Assamese,200,1,40,5,0,Wheat based,V,30
692,Aaloo Pitika,Assamese,100,5,10,2,200,Salad based,V,40
693,Payokh,Assamese,150,7,20,3,100,Milk based,V,60
694,Black rice kheer,Assamese,200,10,30,4,50,Rice based,V,80
695,Masor Tenga,Assamese,150,5,10,15,500,Sea food based,NV,120
696,Duck meat curry,Assamese,250,12,10,20,500,Meat based,NV,200
697,Posola,Assamese,50,2,8,2,50,Fruits,V,20
698,Bilahi torkari,Assamese,100,5,10,2,200,Salad based,V,50
699,Bhaji,Assamese,100,5,10,2,200,Salad based,V,40
700,Smoked pork,Naga,300,25,0,20,2000,Meat based,NV,300
701,Smoked beef,Naga,250,20,0,20,2000,Meat based,NV,250
702,Smoked fish,Naga,200,10,0,20,1500,Sea food based,NV,150
703,Boiled Salad basedetables,Naga,100,2,20,2,50,Salad based,V,80
704,Axone,Naga,200,5,30,10,1000,Meat based,V,150
705,Pork curry,Naga,250,15,5,20,500,Meat based,NV,200
706,Beef curry,Naga,200,10,5,20,500,Meat based,NV,180
707,Fish curry,Naga,150,5,5,20,500,Sea food based,NV,150
708,Bamboo shoot pickle,Naga,50,2,5,2,100,Salad based,V,50
709,Smoked chicken,Naga,200,10,0,15,500,Meat based,NV,180
710,Pork with bamboo shoot,Naga,200,10,5,20,500,Meat based,NV,200
711,Beef with bamboo shoot,Naga,180,5,5,20,500,Meat based,NV,180
712,Fish with bamboo shoot,Naga,120,2,5,20,500,Sea food based,NV,150
713,Naga chilli sauce,Naga,30,0,5,1,500,Salad based,V,40
714,Bitter bamboo shoot fry,Naga,100,2,5,2,200,Salad based,V,80
715,Croissant,Bakery,406,22.5,45.2,6.8,580,Wheat based,V,30
716,Baguette,Bakery,295,1.0,58.0,9.9,757,Wheat based,V,25
717,Sourdough bread,Bakery,236,2.7,46.6,7.9,429,Wheat based,V,40
718,Ciabatta,Bakery,250,2.7,47.8,8.1,570,Wheat based,V,20
719,Pain au chocolat,Bakery,415,21.5,44.0,7.5,366,Wheat based,V,35
720,Blueberry muffin,Bakery,426,19.9,60.2,5.5,485,Wheat based,V,40
721,Chocolate chip cookie,Bakery,502,25.9,63.9,6.0,300,Junk food,V,15
722,Almond croissant,Bakery,439,27.2,42.4,8.4,459,Wheat based,V,45
723,Apple turnover,Bakery,267,10.0,42.0,3.5,178,Wheat based,V,30
724,Cinnamon roll,Bakery,313,11.1,51.7,4.2,399,Wheat based,V,35
725,Black Forest Cake,Bakery,290,13.0,36.0,4.3,143,Milk based,V,400
726,Brownie,Bakery,400,17.0,60.0,4.0,160,Junk food,V,20
727,Red velvet cake,Bakery,245,8.0,43.0,2.0,213,Milk based,V,350
728,Macaron,Bakery,449,23.0,59.0,6.0,45,Junk food,V,60
729,Fruit Tart,Bakery,288,12.0,42.0,3.5,33,Fruits,V,150
730,Cold Brew Coffee,Drinks Only,0,0,0,0,5,Milk based,V,120
731,Matcha Latte,Drinks Only,63,1,11,3,72,Milk based,V,250
732,Lemonade,Drinks Only,37,0,10,0,10,Fruits,V,50
733,Iced Tea,Drinks Only,33,0,8,0,0,Milk based,V,30
734,Hot Chocolate,Drinks Only,89,3,12,3,92,Milk based,V,150
735,Fruit Juice,Drinks Only,48,0,12,0,5,Fruits,V,60
736,Smoothie,Drinks Only,77,0,18,1,5,Fruits,V,120
737,Milkshake,Drinks Only,98,4,13,3,55,Milk based,V,180
738,Lassi,Drinks Only,70,2,11,2,39,Milk based,V,100
739,Falooda,Drinks Only,121,1,30,1,10,Milk based,V,200
740,Butter Tea,Drinks Only,20,0,0,0,5,Milk based,V,30
741,Coconut Water,Drinks Only,19,0,3,0,26,Fruits,V,40
742,Almond Milk,Drinks Only,17,2,0,0,7,Milk based,V,120
